kanji,hanviet,hiragana,meaning
のんびり,,のんびり,tận hưởng
実は,thực,じつは,thực tế là
読書,"độc, thư",どくしょ,đọc viết
演奏,"diễn, tấu",えんそう,biểu diễn
芸術,"vân, thuật",げいじゅつ,nghệ thuật
検査,"kiểm, tra",けんさ,kiểm tra
血液,"huyết, dịch",けつえき,máu
治療,"trị, liệu",ちりょう,trị liệu
症状,"chứng, trạng",しょうじょう,triệu chứng
予防,"dự, phòng",よぼう,dự phòng
栄養,"dinh, dưỡng",えいよう,dinh dưỡng
手術,"thủ, thuật",しゅじゅつ,phẫu thuật
死亡,"tử, vong",しぼう,tử vong
命,mệnh,いのち,sinh mạng
一生,"nhất, sinh",いっしょう,suốt đời
誤解,"ngộ, giải",ごかい,hiểu nhầm
後悔,"hậu, hận",こうかい,hối hận
訳,dịch,わけ,lý do
態度,"thái, độ",たいど,thái độ
癖,phích,くせ,thói quen
礼儀,"lễ, nghĩa",れいぎ,lễ nghĩa
文句,"văn, cú",もんく,phàn nàn
表情,"biểu, tình",ひょうじょう,"biểu lộ, biểu thị"
鏡面,"kính, diện",ひょうめん,bề mặt
禁煙,"cấm, yên",きんえん,cấm hút thuốc
禁止,"cấm, chỉ",きんし,cấm
完成,"hoàn, thành",かんせい,hoàn thành
課題,"khóa, đề",かだい,chủ đề
例外,"ngoại, lệ",れいがい,ngoại lệ
基本,"cơ, bản",きほん,cơ bản
記録,"kí, lục",きろく,ghi âm
状態,"trạng, thái",じょうたい,trạng thái
出来事,"xuất, lai, sự",できごと,sự kiện
場面,"trường, diện",ばめん,"khung cảnh, tình huống, hiện trường"
機会,"cơ, hội",きかい,cơ hội
距離,"cự, li",きょり,khoảng cách
提案,"đề, án",ていあん,đề xuất
やり取り,thủ,やりとり,"trao đổi, làm việc"
